brand,price,year,currency,country,zip_code,odometer,service_history,doy,moy
Ford Transit,11201,2025,AUD,australia,2830,60454,n,332,13
Volkswagen Westfalia,42412,2025,AUD,australia,4700,81366,y,73,4
Mercedes-Benz Sprinter,41751,2017,AUD,australia,4740,55573,n,353,7
Nissan NV200,36423,2017,AUD,australia,4551,79649,y,165,5
Volkswagen California,45681,2025,AUD,australia,6230,82716,y,95,10
Ford Transit,50074,2022,AUD,australia,4217,92596,n,23,3
Mercedes-Benz Sprinter,21250,2020,AUD,australia,2450,60054,y,214,8
Toyota Hiace,12371,2022,AUD,australia,2600,68132,y,158,11
Volkswagen Westfalia,56263,2025,AUD,australia,6000,60067,y,144,2
Nissan NV200,34598,2017,AUD,australia,2450,95978,y,360,6
Mercedes-Benz Sprinter,14675,2015,AUD,australia,2450,84712,y,115,7
Toyota Hiace,51520,2022,AUD,australia,3350,53529,y,58,8
Toyota Hiace,20452,2021,AUD,australia,4217,70189,y,177,12
Fiat Ducato,31400,2020,AUD,australia,7000,90364,y,249,4
Ford Transit,28065,2015,AUD,australia,3220,91092,n,326,13
Fiat Ducato,36254,2023,AUD,australia,2300,64424,y,354,12
Mercedes-Benz Sprinter,16212,2022,AUD,australia,6000,56628,n,343,1
Nissan NV200,19658,2017,AUD,australia,4000,52957,y,298,4
Fiat Ducato,13573,2022,AUD,australia,3000,89336,n,199,7
Nissan NV200,23215,2024,AUD,australia,4655,78095,n,169,9
Dodge Ram Promaster,46000,2025,AUD,australia,4670,80023,n,319,5
Ford Transit,59758,2017,AUD,australia,4740,63970,n,362,3
Chevrolet Express,53720,2015,AUD,australia,3630,54434,n,114,3
Fiat Ducato,32317,2021,AUD,australia,4670,50368,y,149,8
Chevrolet Express,57923,2025,AUD,australia,3220,61882,y,63,8
Volkswagen Westfalia,10294,2021,AUD,australia,4350,58962,n,284,4
Mercedes-Benz Sprinter,16626,2017,AUD,australia,2000,90592,y,162,12
Toyota Hiace,24372,2018,AUD,australia,4217,61079,n,65,10
Fiat Ducato,53274,2017,AUD,australia,2640,60835,n,326,6
Mercedes-Benz Sprinter,52145,2017,AUD,australia,2450,80513,y,290,10
Volkswagen California,15140,2018,AUD,australia,4350,97914,y,328,3
Fiat Ducato,46565,2023,AUD,australia,3500,98050,y,40,5
Volkswagen Westfalia,32666,2025,AUD,australia,2650,81377,y,85,10
Dodge Ram Promaster,18842,2021,AUD,australia,2650,99150,n,34,11
Ford Transit,42331,2017,AUD,australia,3000,85116,n,168,2
Toyota Hiace,42007,2017,AUD,australia,4670,68973,y,18,8
Toyota Hiace,56015,2023,AUD,australia,6230,95325,y,38,12
Toyota Hiace,32734,2022,AUD,australia,4670,69298,y,118,7
Hymer Aktiv,21532,2024,AUD,australia,4700,56315,y,194,8
Volkswagen California,53716,2015,AUD,australia,4655,84896,y,101,6
Nissan NV200,42175,2016,AUD,australia,2640,69364,n,361,4
Toyota Hiace,21001,2018,AUD,australia,4350,86526,n,153,4
Mercedes-Benz Sprinter,10607,2017,AUD,australia,4870,85271,n,104,11
Toyota Hiace,27471,2024,AUD,australia,6000,58449,n,233,11
Hymer Aktiv,31322,2020,AUD,australia,3350,83142,n,243,6
Ford Transit,32819,2021,AUD,australia,4740,93040,n,48,4
Toyota Hiace,10814,2024,AUD,australia,2450,76143,n,208,6
Dodge Ram Promaster,46314,2015,AUD,australia,4700,55962,n,152,4
Hymer Aktiv,15361,2018,AUD,australia,2650,80660,n,207,5
Hymer Aktiv,17781,2019,AUD,australia,4870,51055,n,318,13
Chevrolet Express,17293,2020,AUD,australia,2830,99565,n,347,9
Toyota Hiace,57898,2018,AUD,australia,2830,72375,y,194,4
Mercedes-Benz Sprinter,10671,2021,AUD,australia,3350,74986,n,9,10
Chevrolet Express,53605,2016,AUD,australia,3550,90028,n,70,5
Mercedes-Benz Sprinter,39603,2016,AUD,australia,7000,54638,n,338,11
Chevrolet Express,25037,2019,AUD,australia,2000,86727,n,81,9
Toyota Hiace,26527,2021,AUD,australia,7000,80472,n,235,3
Hymer Aktiv,42841,2015,AUD,australia,6000,97579,y,282,10
Mercedes-Benz Sprinter,47766,2017,AUD,australia,2650,64589,y,184,5
Chevrolet Express,25178,2018,AUD,australia,4655,69750,n,328,3
Chevrolet Express,31158,2023,AUD,australia,2000,82775,y,175,6
Nissan NV200,16641,2015,AUD,australia,2450,68428,y,118,4
Mercedes-Benz Sprinter,20520,2019,AUD,australia,2640,71596,n,183,1
Volkswagen Westfalia,18885,2020,AUD,australia,2650,73024,n,144,8
Nissan NV200,28395,2023,AUD,australia,2650,92365,y,83,10
Volkswagen California,38178,2015,AUD,australia,6230,75188,y,365,12
Chevrolet Express,58342,2020,AUD,australia,2640,92160,y,28,9
Ford Transit,17470,2023,AUD,australia,4217,93381,y,132,12
Dodge Ram Promaster,48996,2020,AUD,australia,2830,75614,n,266,1
Nissan NV200,27598,2017,AUD,australia,4350,91733,y,262,13
Volkswagen Westfalia,53024,2022,AUD,australia,3630,87764,n,229,2
Mercedes-Benz Sprinter,25343,2020,AUD,australia,6000,56681,y,77,7
Nissan NV200,57558,2021,AUD,australia,2450,85357,y,297,10
Chevrolet Express,19657,2020,AUD,australia,4810,97075,n,269,3
Fiat Ducato,33823,2023,AUD,australia,4870,87367,n,27,3
Volkswagen Westfalia,56210,2018,AUD,australia,3550,58505,y,341,2
Nissan NV200,11204,2020,AUD,australia,4655,51018,n,190,13
Toyota Hiace,31206,2023,AUD,australia,4551,96559,y,136,3
Dodge Ram Promaster,40433,2018,AUD,australia,2450,56356,y,146,5
Volkswagen Westfalia,30581,2021,AUD,australia,2450,98209,n,16,3
Chevrolet Express,19428,2015,AUD,australia,4655,60445,y,120,2
Volkswagen Westfalia,47002,2020,AUD,australia,5000,51120,n,99,12
Mercedes-Benz Sprinter,15025,2024,AUD,australia,3350,59965,n,115,6
Mercedes-Benz Sprinter,30955,2023,AUD,australia,3500,87081,n,199,5
Dodge Ram Promaster,32763,2018,AUD,australia,4551,54168,n,111,3
Volkswagen Westfalia,42800,2015,AUD,australia,3630,50542,y,275,5
Ford Transit,50528,2016,AUD,australia,5000,97992,y,201,10
Ford Transit,36714,2022,AUD,australia,4000,77307,n,188,7
Toyota Hiace,55315,2025,AUD,australia,2000,85218,y,197,4
Dodge Ram Promaster,50978,2016,AUD,australia,4217,57670,n,217,11
Ford Transit,28764,2024,AUD,australia,2830,98274,y,38,2
Fiat Ducato,47606,2020,AUD,australia,3630,81950,y,271,4
Volkswagen Westfalia,34382,2020,AUD,australia,2640,82081,n,344,3
Hymer Aktiv,36924,2022,AUD,australia,3550,94647,y,357,3
Volkswagen Westfalia,23601,2022,AUD,australia,3220,51289,y,285,3
Ford Transit,49144,2025,AUD,australia,4350,78790,n,120,8
Ford Transit,51500,2020,AUD,australia,4810,98846,n,194,10
Volkswagen California,46474,2025,AUD,australia,3550,79616,n,171,7
Volkswagen Westfalia,57855,2016,AUD,australia,7000,72393,y,153,3
Dodge Ram Promaster,27300,2020,AUD,australia,7250,70081,y,273,10
Fiat Ducato,26104,2015,AUD,australia,4810,77349,n,339,2
Volkswagen California,48505,2020,AUD,australia,3350,66844,n,83,12
Volkswagen California,45860,2024,AUD,australia,3220,58949,y,220,11
Fiat Ducato,54612,2021,AUD,australia,4700,83870,y,321,4
Nissan NV200,12842,2024,AUD,australia,4870,74098,n,211,6
Dodge Ram Promaster,25855,2016,AUD,australia,4350,94214,y,157,5
Fiat Ducato,25919,2024,AUD,australia,3550,51998,n,19,11
Ford Transit,42427,2016,AUD,australia,2600,95211,y,295,6
Dodge Ram Promaster,36928,2015,AUD,australia,6230,77064,y,290,4
Fiat Ducato,37785,2018,AUD,australia,4670,54664,n,46,2
Dodge Ram Promaster,29763,2018,AUD,australia,6230,94221,n,4,11
Hymer Aktiv,33246,2017,AUD,australia,3630,97700,y,255,3
Volkswagen California,58991,2023,AUD,australia,4217,83534,n,312,9
Fiat Ducato,18958,2025,AUD,australia,2600,60967,n,349,6
Volkswagen California,11564,2021,AUD,australia,4655,55706,n,60,7
Dodge Ram Promaster,42968,2022,AUD,australia,3000,99995,y,311,13
Toyota Hiace,58323,2018,AUD,australia,4810,53727,n,223,11
Nissan NV200,30608,2025,AUD,australia,2640,62137,y,170,3
Chevrolet Express,20514,2018,AUD,australia,7000,86695,y,45,3
Chevrolet Express,35083,2020,AUD,australia,3630,62545,y,177,13
Volkswagen Westfalia,52216,2018,AUD,australia,4350,88581,y,65,12
Fiat Ducato,20518,2019,AUD,australia,2450,56349,n,172,7
Chevrolet Express,32804,2022,AUD,australia,4655,90108,n,193,11
Hymer Aktiv,26646,2022,AUD,australia,4000,99691,n,167,1
Ford Transit,51773,2015,AUD,australia,3550,60436,n,192,6
Fiat Ducato,39374,2022,AUD,australia,4551,67408,n,313,6
Mercedes-Benz Sprinter,10891,2023,AUD,australia,4551,57732,n,328,6
Dodge Ram Promaster,10046,2020,AUD,australia,2830,93122,y,241,9
Nissan NV200,50268,2019,AUD,australia,2500,58396,y,322,2
Fiat Ducato,40354,2019,AUD,australia,3500,77112,n,267,2
Nissan NV200,44860,2017,AUD,australia,2600,71112,n,261,12
Dodge Ram Promaster,42163,2019,AUD,australia,4655,53848,y,71,9
Toyota Hiace,14013,2019,AUD,australia,4350,69412,y,56,9
Toyota Hiace,20847,2024,AUD,australia,3350,92258,y,30,7
Toyota Hiace,10765,2019,AUD,australia,4670,94417,n,177,7
Volkswagen Westfalia,27712,2015,AUD,australia,3350,84350,n,339,9
Ford Transit,33716,2022,AUD,australia,4217,87561,n,176,8
Ford Transit,13080,2017,AUD,australia,3000,98255,n,101,4
Nissan NV200,20189,2021,AUD,australia,2450,99610,n,305,12
Hymer Aktiv,46727,2025,AUD,australia,3000,74246,y,88,10
Fiat Ducato,58161,2024,AUD,australia,4217,57005,y,106,6
Volkswagen Westfalia,57678,2020,AUD,australia,3500,73675,n,53,1
Volkswagen Westfalia,28954,2023,AUD,australia,4000,54804,n,125,6
Chevrolet Express,25842,2020,AUD,australia,3500,84667,n,359,12
Mercedes-Benz Sprinter,42080,2023,AUD,australia,6000,88278,n,134,2
Dodge Ram Promaster,22528,2015,AUD,australia,2830,93194,y,257,10
Volkswagen Westfalia,22609,2023,AUD,australia,4870,90954,n,69,5
Toyota Hiace,23951,2016,AUD,australia,7000,98820,n,292,5
Ford Transit,49332,2024,AUD,australia,4810,74541,y,74,11
Fiat Ducato,35061,2025,AUD,australia,4000,82711,y,249,13
Toyota Hiace,22303,2025,AUD,australia,4870,84496,y,327,4
Volkswagen California,49070,2020,AUD,australia,3000,69785,y,278,8
Chevrolet Express,41253,2020,AUD,australia,3000,90427,y,2,6
Chevrolet Express,39242,2023,AUD,australia,2600,91070,n,140,11
Chevrolet Express,57440,2020,AUD,australia,4740,78285,n,93,3
Volkswagen California,16108,2019,AUD,australia,3350,98471,y,281,13
Volkswagen California,10648,2025,AUD,australia,6000,74516,y,342,4
Toyota Hiace,24780,2023,AUD,australia,4655,57965,n,112,10
Fiat Ducato,28612,2021,AUD,australia,4870,70655,n,44,4
Toyota Hiace,12844,2016,AUD,australia,4810,63416,y,249,2
Dodge Ram Promaster,17479,2015,AUD,australia,2600,53962,n,354,1
Nissan NV200,37527,2015,AUD,australia,2650,95463,y,138,7
Fiat Ducato,51663,2017,AUD,australia,4217,81892,n,149,9
Ford Transit,48083,2017,AUD,australia,3000,64005,y,235,12
Toyota Hiace,56751,2017,AUD,australia,2450,91644,n,167,5
Ford Transit,58790,2018,AUD,australia,4700,86045,y,129,4
Chevrolet Express,53497,2021,AUD,australia,4350,96696,y,90,10
Hymer Aktiv,53251,2022,AUD,australia,2650,93902,n,196,2
Ford Transit,50623,2025,AUD,australia,2450,50107,n,257,3
Chevrolet Express,36237,2020,AUD,australia,4217,86569,y,240,12
Volkswagen Westfalia,33658,2023,AUD,australia,3000,76041,n,213,4
Fiat Ducato,30496,2018,AUD,australia,6000,61021,y,173,2
Hymer Aktiv,31532,2017,AUD,australia,5000,62991,n,348,4
Toyota Hiace,12208,2024,AUD,australia,4740,59065,y,58,10
Toyota Hiace,16607,2024,AUD,australia,3220,93167,n,41,12
Mercedes-Benz Sprinter,27482,2022,AUD,australia,4655,90818,n,93,13
Hymer Aktiv,18932,2015,AUD,australia,4810,72686,y,253,3
Chevrolet Express,11255,2018,AUD,australia,4350,62972,n,320,12
Ford Transit,11089,2023,AUD,australia,3000,80249,n,294,10
Fiat Ducato,56637,2023,AUD,australia,3550,60240,y,229,10
Volkswagen California,18010,2023,AUD,australia,3630,66915,y,195,5
Nissan NV200,25511,2025,AUD,australia,2450,69496,n,67,13
Chevrolet Express,36019,2024,AUD,australia,2500,87307,n,127,9
Volkswagen California,28005,2019,AUD,australia,2830,99834,y,357,6
Toyota Hiace,11296,2024,AUD,australia,2450,59125,n,234,10
Mercedes-Benz Sprinter,57987,2021,AUD,australia,6000,93338,n,261,3
Volkswagen California,10086,2020,AUD,australia,2000,67514,y,102,9
Nissan NV200,43653,2015,AUD,australia,3630,94945,y,365,13
Volkswagen California,34972,2025,AUD,australia,4000,81483,n,270,3
Volkswagen California,50797,2020,AUD,australia,4810,97009,n,90,2
Volkswagen California,36785,2023,AUD,australia,4670,70256,y,86,13
Volkswagen Westfalia,22895,2021,AUD,australia,3630,87328,y,31,10
Volkswagen Westfalia,41718,2018,AUD,australia,4350,50232,n,304,12
Toyota Hiace,34782,2017,AUD,australia,3000,57469,n,82,3
Dodge Ram Promaster,36943,2019,AUD,australia,4700,80614,n,54,6
Ford Transit,58191,2022,AUD,australia,2450,81102,y,238,6
Hymer Aktiv,45734,2018,AUD,australia,4000,72159,y,355,13
Ford Transit,39070,2019,AUD,australia,4655,95189,y,67,7
Hymer Aktiv,31246,2016,AUD,australia,4670,81782,n,349,12
Hymer Aktiv,48596,2020,AUD,australia,3630,69811,y,360,6
Fiat Ducato,28923,2021,AUD,australia,2300,91905,y,245,11
Volkswagen Westfalia,29966,2024,AUD,australia,6230,74760,y,211,5
